sampno,latitude,longitude,GEOID,latitude_work,longitude_work,GEOID_work,hh_income,hh_veh,own_home,race,has_children,hhsize,w_travel,wthhfin,comm_id_home,comm_id_work
70002753,41.875974,-87.693801,17031837400,41.920492,-87.950171,17043840705,82500.0,2,True,1,True,4,5,288.6984,27,
70002758,41.833926,-87.667162,17031840400,42.006411,-87.658816,17031010400,42500.0,2,True,3,False,2,5,607.0907,59,1.0
70002759,41.946698,-87.639064,17031061902,41.875817,-87.617256,17031320400,67500.0,0,False,1,False,2,3,133.863,6,32.0
70002765,41.929078,-87.646293,17031070200,41.880986,-87.63307,17031839100,55000.0,0,False,1,False,2,5,95.0208,7,32.0
70002803,41.801671,-87.594265,17031410200,41.880986,-87.63307,17031839100,42500.0,0,False,1,False,1,5,114.0339,41,32.0
70002816,41.881883,-87.706136,17031836900,41.928967,-87.656156,17031070400,67500.0,0,False,97,False,2,5,68.4632,27,7.0
70002843,41.935745,-87.730306,17031210400,41.886447,-87.619467,17031320100,82500.0,1,True,1,True,3,5,71.5895,21,32.0
70002864,41.934765,-87.639854,17031063302,41.886447,-87.619467,17031320100,10000.0,0,False,1,False,2,-1,69.1979,6,32.0
70002865,41.738365,-87.731306,17031700302,41.895035,-87.619717,17031081401,180000.0,4,True,1,False,3,5,272.9639,70,8.0
70002886,41.995658,-87.794314,17031100200,41.874181,-87.661901,17031832900,125000.0,2,True,1,True,7,5,102.7654,10,28.0
70002887,41.988972,-87.654609,17031030601,42.001698,-87.673574,17031830600,55000.0,0,False,2,True,3,5,471.9397,77,1.0
70002899,41.994532,-87.757611,17031120200,41.880986,-87.63307,17031839100,180000.0,2,True,1,True,4,5,75.1887,12,32.0
70002910,41.92223,-87.664796,17031832500,41.892906,-87.626079,17031081500,55000.0,1,False,1,False,1,5,168.0389,7,8.0
70002913,41.942691,-87.65177,17031062100,41.886447,-87.619467,17031320100,82500.0,1,True,1,False,2,5,69.587,6,32.0
70002914,41.816219,-87.651695,17031842600,41.61742,-87.782694,17031824506,42500.0,1,False,1,False,2,5,609.0409,61,
70002920,42.008488,-87.685912,17031020400,41.880986,-87.63307,17031839100,125000.0,1,True,1,False,1,4,73.6225,2,32.0
70002935,41.967289,-87.652434,17031031501,41.870416,-87.675079,17031838200,67500.0,1,False,1,False,2,5,647.3595,3,28.0
70002938,41.790469,-87.601285,17031836200,41.79671,-87.578094,17031410900,180000.0,1,True,1,True,3,6,442.8175,41,41.0
70002940,42.006865,-87.705186,17031020301,41.880986,-87.63307,17031839100,180000.0,3,True,1,True,6,5,562.7014,2,32.0
70002941,41.938923,-87.634673,17031063200,41.880986,-87.63307,17031839100,125000.0,1,True,1,False,1,5,68.8591,6,32.0
70002943,41.988972,-87.654609,17031030601,41.878635,-87.642924,17031281900,180000.0,0,True,1,False,2,5,73.7749,77,28.0
70002956,41.988969,-87.818041,17031100400,42.058833,-88.212843,17031804311,180000.0,2,True,1,True,3,5,552.059,10,
